,Unnamed: 0,text,labels,txt_len
96,96,"We recently reported that HFE , the protein defective in HH , was physically associated with the transferrin receptor ( TfR ) in duodenal crypt cells and proposed that mutations in HFE attenuate the uptake of transferrin - bound iron from plasma by duodenal crypt cells , leading to up - regulation of transporters for dietary iron .",O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
97,97,"Here , we tested the hypothesis that HFE - / - mice have increased duodenal expression of the divalent metal transporter ( DMT1 ) .",O O O O O O O O O O O O O O O O O O O O O O O O O,32
98,98,"By 4 weeks of age , the HFE - / - mice demonstrated iron loading when compared with HFE + / + littermates , with elevated transferrin saturations ( 68 . 4 % vs . 49 . 8 % ) and elevated liver iron concentrations ( 985 micrograms vs . 381 micrograms ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
99,99,"By using Northern blot analyses , we quantitated duodenal expression of both classes of DMT1 transcripts one containing an iron responsive element ( IRE ) , called DMT1 ( IRE ) , and one containing no IRE , called DMT1 ( non - IRE ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
100,100,The positive control for DMT1 up - regulation was a murine model of dietary iron deficiency that demonstrated greatly increased levels of duodenal DMT1 ( IRE ) mRNA .,O O O O O O O O O O O O O B I I O O O O O O O O O O O O O,32
101,101,"HFE - / - mice also demonstrated an increase in duodenal DMT1 ( IRE ) mRNA ( average 7 . 7 - fold ) , despite their elevated transferrin saturation and hepatic iron content .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
102,102,"Duodenal expression of DMT1 ( non - IRE ) was not increased , nor was hepatic expression of DMT1 increased .",O O O O O O O O O O O O O O O O O O O O O,32
103,103,"These data support the model for HH in which HFE mutations lead to inappropriately low crypt cell iron , with resultant stabilization of DMT1 ( IRE ) mRNA , up - regulation of DMT1 , and increased absorption of dietary iron .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
104,104,Neurophysiologic follow - up of long - term dietary treatment in adult - onset adrenoleukodystrophy .,O O O O O O O O O O O O O O B O,32
105,105,OBJECTIVE To monitor the effects of dietary treatment in adult - onset adrenoleukodystrophy ( ALD ) by means of somatosensory evoked potentials ( SEPs ) and motor evoked potentials ( MEPs ) .,O O O O O O O O O O O O B O B O O O O O O O O O O O O O O O O O O,32
106,106,"BACKGROUND SEPs and MEPs have proved useful in revealing signs of progressively severe , central dying - back axonopathy in early stages of adult - onset ALD .",O O O O O O O O O O O O O O O B I I I O O O O O O O B O,32
107,107,"METHODS Eight patients with adult - onset ALD underwent clinical examination , brain and spine MRI , and SEP and MEP studies before and after 3 years of Lorenzos oil dietary therapy .",O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O,32
108,108,"RESULTS Before treatment , brain MRI was normal in five patients .",O O O O O O O O O O O O,32
109,109,Three of these patients had pure spinal SEP abnormalities and in the remaining two patients SEPs showed signs of involvement of both the spinal and cerebral somatosensory tracts .,O O O O O O B I I O O O O O O O O O O O O O O O O O O O O,32
110,110,"After treatment , the three patients with pure spinal abnormalities showed clinical and neurophysiologic worsening , whereas the two patients with a more advanced stage of disease ( exhibited by SEPs ) showed substantially unchanged clinical and neurophysiologic features .",O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
111,111,The patients with abnormal brain MRI at the onset of treatment showed clinical and neurophysiologic worsening .,O O O O O O O O O O O O O O O O O,32
112,112,CONCLUSIONS Lorenzos oil therapy had no effect on patients with evidence of inflammatory brain lesions .,O O O O O O O O O O O O B I I O,32
113,113,"Moreover , in patients without clear signs of inflammatory damage , this treatment does not modify significantly the natural course of the disease .",O O O O O O O O O O O O O O O O O O O O O O O O,32
114,114,"However , because effective treatments should begin before the onset of severe neurologic symptoms , SEPs and MEPs should be considered to evaluate the effectiveness of other experimental treatments in the patient with a negative brain MRI .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
115,115,GCH1 mutation in a patient with adult - onset oromandibular dystonia .,O O O O O O O O O B I O,32
116,116,The authors report a mutation in exon 5 of GCH1 in a patient with adult - onset oromandibular dystonia and no obvious family history of dystonia .,O O O O O O O O O O O O O O O O O B I O O O O O O B O,32
117,117,The patient responded positively to treatment with L - dopa .,O O O O O O O O O O O,32
118,118,These findings demonstrate that GCH1 mutations must be considered even in patients with dystonic symptoms not typical of dopa - responsive dystonia .,O O O O O O O O O O O O O B O O O O B I I I O,32
119,119,Germline mutations of the APC gene in Korean familial adenomatous polyposis patients .,O O O O B O O O B I I O O,32
120,120,We extensively analyzed genomic DNA and messenger RNA ( mRNA ) from 62 unrelated Korean patients with familial adenomatous polyposis ( FAP ) for identification of germline adenomatous polyposis coli ( APC ) gene mutations .,O O O O O O O O O O O O O O O O O B I I O B O O O O O B I I O B O O O O,32
121,121,We adopted both single - strand conformation polymorphism ( SSCP ) analysis and a method of analysis involving the reverse transcription - polymerase chain reaction ( RT - PCR ) followed by a protein truncation test ( PTT ) .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
122,122,DNA sequencing confirmed all alterations represented by aberrant bands .,O O O O O O O O O O,32
123,123,Germline mutations were identified in 38 patients ( 61 % ) .,O O O O O O O O O O O O,32
124,124,"Nineteen of the detected mutations were presumed to be novel , thus emphasizing the heterogeneity of the mutational spectrum in Korean FAP patients .",O O O O O O O O O O O O O O O O O O O O O B O O,32
125,125,"In the initial 48 patients , SSCP analysis was followed by PTT for those patients for whom no detectable mutations were found by SSCP .",O O O O O O O O O O O O O O O O O O O O O O O O O,32
126,126,"Using this combined approach , we identified germline APC gene mutations in 29 of the 48 FAP patients ( 60 % ) , including 6 patients in whom SSCP analysis failed to distinguish the mutant allele .",O O O O O O O O B O O O O O O O B O O O O O O O O O O O O O O O O O O O O,32
127,127,"In the 14 later patients , we identified truncating mutations in 9 patients ( 64 % ) using PTT only .",O O O O O O O O O O O O O O O O O O O O O,32
128,128,"Our results confirm that the mutation detection rate with PTT was superior to that with SSCP , and suggest that PTT would be a more practical screening method to detect germline mutations of the APC gene in FAP patients .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O B O O,32
129,129,Molecular epidemiology of C9 deficiency heterozygotes with an Arg95Stop mutation of the C9 gene in Japan .,O O O B I O O O O O O O O O O O O,32
130,130,"Deficiency of the ninth component of human complement ( C9 ) is the most common complement deficiency in Japan , with an incidence of approximately one homozygote in 1000 , but is very rare in other countries .",B I I I I I I I O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O,32
131,131,Genetic analyses of Japanese C9 deficiency have shown that a C - to - T transition leading to TGA stop codon for Arg95 in exon 4 of the C9 gene ( Arg95Stop ) is common in Japanese C9 deficiency .,O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O,32
132,132,"To determine the prevalence of heterozygous carriers of the Arg95Stop mutation in a Japanese population , we collected DNA samples from 300 individuals in two of the four main islands of Japan .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
133,133,"Heterozygote detection was performed with an allele - specific polymerase chain reaction ( PCR ) system designed to detect exclusively only one of the normal and mutant alleles , followed by confirmation with PCR / single - strand conformation polymorphism ( SSCP ) analysis and direct sequencing .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
134,134,Twenty individuals were heterozygous for the Arg95Stop mutation .,O O O O O O O O O,32
135,135,None was homozygous .,O O O O,32
136,136,The prevalence of carriers of the Arg95Stop mutation was 6 .,O O O O O O O O O O O,32
137,137,7 % ( 20 / 300 ) .,O O O O O O O O,32
138,138,An estimated frequency ( 0 . 12 % ) of complete C9 deficiency due to homozygous Arg95Stop mutation was consistent with frequencies determined by serological studies,O O O O O O O O O O O B I O O O O O O O O O O O O O,32
139,139,"The hereditary hemochromatosis protein , HFE , specifically regulates transferrin - mediated iron uptake in HeLa cells .",O B I O O O O O O O O O O O O O O O,32
140,140,"HFE is the protein product of the gene mutated in the autosomal recessive disease hereditary hemochromatosis ( Feder , J .",O O O O O O O O O O O B I I B I O O O O O,32
141,141,"N . , Gnirke , A . , Thomas , W . , Tsuchihashi , Z . , Ruddy , D .",O O O O O O O O O O O O O O O O O O O O O O,32
142,142,"A . , Basava , A . , Dormishian , F . , Domingo , R .",O O O O O O O O O O O O O O O O O,32
143,143,"J . , Ellis , M .",O O O O O O O,32
144,144,"C . , Fullan , A . , Hinton , L .",O O O O O O O O O O O O,32
145,145,"M . , Jones , N .",O O O O O O O,32
146,146,"L . , Kimmel , B .",O O O O O O O,32
147,147,"E . , Kronmal , G .",O O O O O O O,32
148,148,"S . , Lauer , P . , Lee , V .",O O O O O O O O O O O O,32
149,149,"K . , Loeb , D .",O O O O O O O,32
150,150,"B . , Mapa , F .",O O O O O O O,32
151,151,"A . , McClelland , E . , Meyer , N .",O O O O O O O O O O O O,32
152,152,"C . , Mintier , G .",O O O O O O O,32
153,153,"A . , Moeller , N . , Moore , T . , Morikang , E . , Prasss , C .",O O O O O O O O O O O O O O O O O O O O O O,32
154,154,"E . , Quintana , L . , Starnes , S .",O O O O O O O O O O O O,32
155,155,"M . , Schatzman , R .",O O O O O O O,32
156,156,"C . , Brunke , K .",O O O O O O O,32
157,157,"J . , Drayna , D .",O O O O O O O,32
158,158,"T . , Risch , N .",O O O O O O O,32
159,159,"J . , Bacon , B .",O O O O O O O,32
160,160,"R . , and Wolff , R .",O O O O O O O O,32
161,161,R .,O O,32
162,162,( 1996 ) Nat .,O O O O O,32
163,163,Genet .,O O,32
164,164,"13 , 399 - 408 ) .",O O O O O O O,32
165,165,"At the cell surface , HFE complexes with transferrin receptor ( TfR ) , increasing the dissociation constant of transferrin ( Tf ) for its receptor 10 - fold ( Gross , C .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
166,166,"N . , Irrinki , A . , Feder , J . N . , and Enns , C . A . ( 1998 ) J . Biol . Chem . 273 , 22068 - 22074 ; Feder , J . N . , Penny , D . M . , Irrinki , A . , Lee , V . K . , Lebron , J . A . , Watson , N . , Tsuchihashi , Z . , Sigal , E . , Bjorkman , P . J . , and Schatzman , R . C . ( 1998 ) Proc . Natl .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
167,167,Acad .,O O,32
168,168,Sci .,O O,32
169,169,"U S A 95 , 1472 - 1477 ) .",O O O O O O O O O O,32
170,170,"HFE does not remain at the cell surface , but traffics with TfR to Tf - positive internal compartments ( Gross et al . , 1998 ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
171,171,"Using a HeLa cell line in which the expression of HFE is controlled by tetracycline , we show that the expression of HFE reduces 55Fe uptake from Tf by 33 % but does not affect the endocytic or exocytic rates of TfR cycling .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
